"Zeitstempel","ID","Haben Sie die App benutzt?","Die App war schwierig zu bedienen.","Ich fand die Malwerkzeuge einfach zu bedienen.","Gab es Probleme? Verbesserungsvorschläge?","Was war besonders gut?","Wie heißt der abgebildete Mann und was bedeutet sein Name übersetzt auf Deutsch?","Wozu dient der Giebel der Grabstele?","Was ist ein Chiton?","Woran erkennt man den Wohlstand des Verstorbenen?","Welchen Beruf übte der Verstorbene aus?","Was wurde unter dem Himaton - einem griechischen Mantel - getragen und warum?"
"2020/02/04 4:39:26 PM MEZ","002","Ja, ich habe die App benutzt.","2","4"," Gallerie updated manchmal die Projektion nicht richtig","","","","Kleidung","","",""
"2020/02/04 5:06:26 PM MEZ","079","Ja, ich habe die App benutzt.","1","5","","","","","","","",""
"2020/02/04 5:08:48 PM MEZ","017","Ja, ich habe die App benutzt.","5","1","Das Infofenster unten hab ich total übersehen, weil ich so ins malen vertieft wat.","Die Projektion.","","Der Name des Verstorbenen steht drauf.","Ein Mantel","Am Stuhl","",""
"2020/02/04 5:12:42 PM MEZ","033","Ja, ich habe die App benutzt.","1","4","","","Xanthippos","","","","Schuster",""
"2020/02/04 5:29:36 PM MEZ","69","Ja, ich habe die App benutzt.","1","5","","Pinsel bleibt in Ebene","","Regenschutz","","Bart","Schuster","0"
"2020/02/04 5:43:35 PM MEZ","031","Ja, ich habe die App benutzt.","1","5","","","Xanthippos - Streitender","","","Geld","Händler","1337"
"2020/02/05 4:03:24 PM MEZ","011","Ja, ich habe die App benutzt.","1","4","- Important interaction tools (e.g. color, brush size) can be directly integrated into the UI (instead of first selecting from top menu)
- adding collaboration (two users draw at the same time, and color the statue together) 
- in the information features, user could add their own annotations (e.g I could write a message at the beared) ","- Realtime interaction in drawing mode
- different texturing templates","Leider hab nicht genug auf informationen geachtet. ","Leider hab nicht genug auf informationen geachtet. ","Leider hab nicht genug auf informationen geachtet. ","Stuhl","Schuster","Leider hab nicht genug auf informationen geachtet. "
"2020/02/28 4:05:45 PM MEZ","65","Ja, ich habe die App benutzt.","1","5","Der Zurück Button könnte mehrere male funktionieren und nicht nur die letzte Änderung löschen","- Einfachheit, Übersichtlichkeit
- Teile mit Farben ganz ausfüllbar waren","irgendwas mit Pferd","zum Schutz vor Wasser","Viereckiges Tuch zur Bekleidung","am Stuhl mit Lehne","Schuster","/"
"2020/03/03 3:21:51 PM MEZ","018","Nein, ich habe den Infotext in ausgedruckter Form gelesen.","","","","","Xanthippos","","Stuhl","Aufwendiges Grab ","Schuhmacher ",""
"2020/03/03 3:23:23 PM MEZ","037","Ja, ich habe die App benutzt.","1","5","Übertragung ging nicht ","","Xanthipos","","Stuhl","Grabstätte","Schuhmacher ",""
"2020/03/03 3:23:27 PM MEZ","078","Nein, ich habe den Infotext in ausgedruckter Form gelesen.","","","","","Xanthypos","","Stuhl","","",""
