ID,sex,age,k1,k2,k3,k4,k5,k6
2,male,18 - 24,kronos,troja,,,,
79,male,25 - 30,kronos,homers odyssee,styx,schierlingsbecher,,
17,male,25 - 30,prometus,,,gift,,
33,female,31 - 40,,illias,,,,
69,male,18 - 24,,,,,,
31,male,18 - 24,uranos,ilias,styx,vergiftung,athen,eingabefehler
48,male,18 - 24,,,,,,
11,male,31 - 40,kreon,odise,,"gift trinken, selbsmord",prikles? plato? ,
65,female,18 - 24,,,,,,
98,male,60+,kronos,aeneis,styx,hinrichtung durch gifteinnahme,solon,akademie
37,female,25 - 30,kronos,ilias,styx,selbstmord gift,perikles,epikurismus
78,male,18 - 24,chronos,,,verurteilung zum tode ,perikles,epikur
18,female,25 - 30,chronos,ilias,styx,selbstmord mit gift ,solon,epikur
13,male,18 - 24,kronos,,styx,"""aderlass""",perikles,peripatos
45,male,18 - 24,kronos,ilias,styx,schierlingsbecher,kleisthenes,kepos/epikureismus
20,male,18 - 24,kronos,odysee,styx,schirlingsbecher (zum selbstmord durch gift gezwungen),solon,epikureismus
89,female,18 - 24,saturn,aeneis,stxy,schirlingsbecher,perikles,epikureismus
82,female,18 - 24,saturn,aeneis,styx,schirlingsbecher,perikles,epikureismus
53,female,51 - 60,kronos,"vergil, aeneis",styx,schirlingsbecher,[findent die frage kann nicht eindeutig beantwortet werde - tim],epikur
12,female,18 - 24,,,,,,
16,female,60+,,pliade & odysee,,selbstmord mit messer,,
95,female,18 - 24,,,,,,
44,female,18 - 24,kronos,odysseus,styx,,,
72,diverse,25 - 30,odysois,,,,,
3,female,18 - 24,kronos,iliaolz,styks,,,
59,female,60+,,illias,,giftbecher,,
51,male,25 - 30,,edda,styx,von (römischen?) soldaten getötet.,,
38,male,60+,kronos,ilias,styx,gift,perikles,stoa
61,male,18 - 24,,,niel,zu viel getrunken,,
92,female,25 - 30,,,nil,,,
