"Zeitstempel","Datenschutzerklärung","ID","Geschlecht","Alter","Wer war Zeus' Vater?","In welchem antiken Werk wird vom Trojanischen Pferd berichtet? ","Über welchen Fluss mussten die Toten kommen um zum Hades zu gelangen?","Wie kam Sokrates zu Tode?","Wer gilt als Begründer der attischen Demokratie?","Welche antike Philosophenschule wurde in einem Garten gegründet?"
"2020/02/04 4:36:11 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","002","Männlich","18 - 24","Kronos","Troja","","","",""
"2020/02/04 5:05:27 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","079","Männlich","25 - 30","Kronos","Homers ""Odyssee""","Styx","Schierlingsbecher","",""
"2020/02/04 5:05:51 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","017","Männlich","25 - 30","Prometus","","","Gift","",""
"2020/02/04 5:11:03 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","033","Weiblich","31 - 40","","Illias","","","",""
"2020/02/04 5:27:51 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","69","Männlich","18 - 24","","","","","",""
"2020/02/04 5:41:10 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","031","Männlich","18 - 24","Uranos","Ilias","Styx","Vergiftung","Athen","1337"
"2020/02/04 5:41:20 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","048","Männlich","18 - 24","","","","","",""
"2020/02/05 4:05:22 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","011","Männlich","31 - 40","Kreon","Odise","","Gift trinken, selbsmord","Prikles? Plato? ",""
"2020/02/28 4:02:52 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","65","Weiblich","18 - 24","/","/","/","/","/","/"
"2020/03/02 11:30:29 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","98","Männlich","60+","Kronos","Aeneis","Styx","Hinrichtung durch Gifteinnahme","Solon","Akademie"
